Title,Author,Publisher,Publish Date,Price,Rating,Review Count,Detail URL
M365 코파일럿 무작정 따라하기,"김시연, 서지영",길벗,2025년 04월,19800,9.2,5,https://www.yes24.com/product/goods/145015291
복잡한 건 싫지만 AI는 해야겠어,최원정,디지털북스,2026년 01월,19800,0.0,0,https://www.yes24.com/product/goods/168841427
조코딩의 랭체인으로 AI 에이전트 서비스 만들기,"조동근, 우성우",한빛미디어,2025년 07월,28800,9.3,12,https://www.yes24.com/product/goods/149201698
LLM 프롬프트 활용 교과서,쿠지라 히코즈쿠에/김성훈 역,길벗,2025년 08월,29700,9.9,15,https://www.yes24.com/product/goods/152470295
교사를 위한 생성형 AI 활용 수업,김종혜,생능북스,2025년 04월,14400,9.6,15,https://www.yes24.com/product/goods/144129260
바이브 코딩으로 배우는 풀스택 만들기,이희찬,길벗캠퍼스,2025년 12월,26000,0.0,0,https://www.yes24.com/product/goods/168274102
AI로 나만의 비서 만들기,신영근,씽크스마트,2025년 12월,15030,0.0,0,https://www.yes24.com/product/goods/172059323
정말 쉽네? 챗GPT 입문,오힘찬,골든래빗,2024년 10월,19800,9.6,150,https://www.yes24.com/product/goods/133846138
단단한 강화학습,"리처드 서튼, 앤드류 바르토/김성우 역",제이펍,2020년 03월,31500,9.9,19,https://www.yes24.com/product/goods/89605439
컨텍스트 엔지니어링으로 구축하는 AI 에이전트,박경민,한빛미디어,2025년 12월,27000,10.0,2,https://www.yes24.com/product/goods/170372943
파이썬으로 시작하는 머신러닝+딥러닝,강지영,아이리포,2025년 11월,25200,10.0,2,https://www.yes24.com/product/goods/160497918
"일잘러의 비밀, 챗GPT와 GPTs로 나만의 AI 챗봇 만들기","이경록, 김정욱",한빛미디어,2025년 02월,21600,9.6,26,https://www.yes24.com/product/goods/141900605
알아서 잘하는 에이전틱 AI 시스템 구축하기,"안자나바 비스와스, 릭 탈루크다르/김모세 역",제이펍,2025년 09월,25200,10.0,2,https://www.yes24.com/product/goods/151381888
인공지능 구조 원리 교과서,송경빈/남지우 그림,보누스,2024년 03월,17820,9.9,25,https://www.yes24.com/product/goods/125580588
따라만 하세요 챗GPT 입문 실무 활용하면서 Chat 공부 사용법과 인공지능 지피티 프롬프트와 엑셀 블로그 유튜브 ppt 배우기 수업 AI 기초 책 학원강의 특강 도서 교재보다 좋은 USB 강좌 교육,액션미디어 편집부,액션미디어,2025년 05월,39800,2.0,1,https://www.yes24.com/product/goods/146531006
AI 영상×미드저니·런웨이·소라·클링·하이루오,안재홍,길벗,2025년 08월,23400,9.6,15,https://www.yes24.com/product/goods/151152657
챗GPT와 함께하는 주식 데이터 분석,이진규/김동준 감수,영진닷컴,2025년 08월,19800,9.5,22,https://www.yes24.com/product/goods/150724085
59가지 통계학 궁금증 완전 정복,황성원,길벗,2025년 05월,21600,10.0,14,https://www.yes24.com/product/goods/146344298
한 번에 끝내는 라마인덱스 × RAG × AI 에이전트,"에디 유, 정용범, 손상우",제이펍,2025년 12월,27000,10.0,1,https://www.yes24.com/product/goods/168227215
일반통계학,서울대학교 자연과학대학 통계학과,한빛아카데미,2025년 03월,35000,0.0,0,https://www.yes24.com/product/goods/143081338
AX 100배의 법칙,황재선,좋은습관연구소,2025년 06월,22500,9.3,3,https://www.yes24.com/product/goods/146704289
AI 개발자가 되고 싶으세요?,"배휘동, 홍석용, 오현우, 정금호, 최남규 외 1명
                                        
정보 더 보기/감추기



배휘동
홍석용
오현우
정금호
최남규
김성완",로드북,2025년 11월,22500,10.0,4,https://www.yes24.com/product/goods/162211876
ComfyUI 100선,조지훈,비엘북스,2024년 11월,29700,9.2,5,https://www.yes24.com/product/goods/136900237
AI 디자인,"신호진, 강경희, 최종수",길벗,2024년 09월,24300,9.9,33,https://www.yes24.com/product/goods/133237852
딥러닝 제대로 이해하기,사이먼 J. D. 프린스/고연이 역,제이펍,2025년 08월,34200,9.5,4,https://www.yes24.com/product/goods/150795058
AI 디지털 활용 수업,"이은총, 심원지, 박정은",푸른칠판,2026년 01월,17100,10.0,2,https://www.yes24.com/product/goods/171428416
생성형 AI를 활용한 논문 작성법,김귀훈 등저,홍릉,2025년 06월,29000,0.0,0,https://www.yes24.com/product/goods/148767861
개발자를 위한 AI 알고리즘,임란 아마드/박지윤 역,영진닷컴,2025년 12월,31500,9.9,15,https://www.yes24.com/product/goods/167459218
프로그램을 읽는 기술,이와마츠 히로시/나민성 역,길벗,2025년 12월,18000,10.0,8,https://www.yes24.com/product/goods/169090563
AI가 바꾸는 학교 수업 챗GPT 교육 활용,"오창근, 장윤제",성안당,2023년 10월,20700,9.8,56,https://www.yes24.com/product/goods/123164744
